,Title,Author,Price,Image,Link
72,Hukum Pajak, Thomas Sumarsan ,Rp 91.000,https://cdn.gramedia.com/uploads/items/img20220623_14562355__w149_hauto.jpg,https://www.gramedia.com/products/hukum-pajak-3
73,Strategi Meraih Nilai A Akreditasi Perpustakaan Sekolah: Tip, MEI SUSIATUN ,Rp 59.000,/assets/default-images/product.png,https://www.gramedia.com/products/strategi-meraih-nilai-a-akreditasi-perpustakaan-sekolah-tip
74,Catatan Harian Wanita Muslimah, @Mueeza_Inspiration None ,Rp 66.500,/assets/default-images/product.png,https://www.gramedia.com/products/catatan-harian-wanita-muslimah-1
75,Aku Bisa Membaca 4-5Th, Hasri Handayani ,Rp 26.000,/assets/default-images/product.png,https://www.gramedia.com/products/aku-bisa-membaca-4-5th-1
76,Smp/Mts Kl.Ix Prakarya K/13 Revisi, Dian Novitarini ,Rp 66.000,/assets/default-images/product.png,https://www.gramedia.com/products/smpmts-klix-prakarya-k13-revisi
77,Fiqih Wanita Sepanjang Masa: Menjawab Segala Hal Tentang Mus, A.R. Shohibul Ulum ,Rp 79.500,/assets/default-images/product.png,https://www.gramedia.com/products/fiqih-wanita-sepanjang-masa-menjawab-segala-hal-tentang-mus
78,Sehat Sampai Tua: Tetap Sehat Dan Bugar Di Usia 40 Tahun, Anshor Adhi S. ,Rp 75.500,/assets/default-images/product.png,https://www.gramedia.com/products/sehat-sampai-tua-tetap-sehat-dan-bugar-di-usia-40-tahun
79,Kkpk Reg Kembar Tidak Akur, Rayya Izarra Abqary ,Rp 39.000,/assets/default-images/product.png,https://www.gramedia.com/products/kkpk-reg-kembar-tidak-akur
80,Endless Surprise, Gemala Hanafiah ,Rp 88.000,/assets/default-images/product.png,https://www.gramedia.com/products/endless-surprise
81,Biru Kelana, Della Dartyan ,Rp 88.000,/assets/default-images/product.png,https://www.gramedia.com/products/biru-kelana
82,Jihad Lipstik, AZADEH MOAVENI ,Rp 150.000,/assets/default-images/product.png,https://www.gramedia.com/products/jihad-lipstik
83,Memaknai Kebijakan Berorientasi Manusia," AFRIMADONA, DKK (EDITOR) None ",Rp 140.000,/assets/default-images/product.png,https://www.gramedia.com/products/memaknai-kebijakan-berorientasi-manusia
84,"Allah Itu Siapa, Ya?", Laksmi P Manohara ,Rp 69.000,https://cdn.gramedia.com/uploads/items/_5806__w149_hauto.jpg,https://www.gramedia.com/products/allah-itu-siapa-ya
85,Budaya Minum Di Indonesia, RAYMOND MICHAEL MINOT (EDITOR) ,Rp 195.000,/assets/default-images/product.png,https://www.gramedia.com/products/budaya-minum-di-indonesia
86,Kkpk Reg: The Butterfly Garden, Meghan Alesha ,Rp 39.000,/assets/default-images/product.png,https://www.gramedia.com/products/kkpk-reg-the-butterfly-garden
87,Buku Panduan Lengkap Ilmu Butchery, Yanto Budidarma ,Rp 118.000,https://cdn.gramedia.com/uploads/items/Buku_Panduan_Ilmu_Butchery_Untuk_Unggas_Ikan__Seafood_Lam_m3nhH09__w149_hauto.jpg,https://www.gramedia.com/products/buku-panduan-ilmu-butchery-untuk-unggas-ikan-seafood-lam
88,Best Planter Practice Kelapa Sawit. Praktik Pengelolaan Sdm, Maruli Pardamean ,Rp 176.000,https://cdn.gramedia.com/uploads/items/img20220615_16313509__w149_hauto.jpg,https://www.gramedia.com/products/best-planter-practice-kelapa-sawit-praktik-pengelolaan-sdm
89,Good Vibes. Good Life, Vex King ,Rp 100.000,https://cdn.gramedia.com/uploads/items/6a378f02-8798-485e-b7d9-874d6aa78762__w149_hauto.jpg,https://www.gramedia.com/products/good-vibes-good-life
90,Mewarnai Bendera-Bendera Negara Bonus Stiker, Kak Elly ,Rp 35.000,https://cdn.gramedia.com/uploads/items/97b41cc9-6f79-434f-8088-8a950f11cfb9__w149_hauto.jpg,https://www.gramedia.com/products/mewarnai-bendera-bendera-negara-bonus-stiker
91,Work: Sejarah Mendalam Bagaimana Umat Manusia Menghabiskan W, James Suzman ,Rp 110.000,/assets/default-images/product.png,https://www.gramedia.com/products/work-sejarah-mendalam-bagaimana-umat-manusia-menghabiskan-w
92,Gionatan, Yohanaichi None ,Rp 99.000,https://cdn.gramedia.com/uploads/items/Gionatan__w149_hauto.jpg,https://www.gramedia.com/products/gionatan
93,Mewarnai Bunga & Tumbuhan Bonus Stiker (Indonesia-Inggris), Kak Elly ,Rp 35.000,/assets/default-images/product.png,https://www.gramedia.com/products/mewarnai-bunga-tumbuhan-bonus-stiker-indonesia-inggris
94,Hidup Bersama Al-Quran 2, M. Quraish Shihab & Najelaa Shihab ,Rp 120.000,https://cdn.gramedia.com/uploads/items/Hidup_Bersama_Al-Quran_2__w149_hauto.jpg,https://www.gramedia.com/products/hidup-bersama-al-quran-2
95,The Invisible History Of The Human Race, Christine Kenneally ,Rp 140.000,/assets/default-images/product.png,https://www.gramedia.com/products/the-invisible-history-of-the-human-race
96,Crazy Ketos Vs Ice Waketos, Syiva Yulia Utari ,Rp 99.000,/assets/default-images/product.png,https://www.gramedia.com/products/crazy-ketos-vs-ice-waketos
97,Pasti Ada Jalan, Ibnu Thahir ,Rp 66.000,/assets/default-images/product.png,https://www.gramedia.com/products/pasti-ada-jalan
98,Renungan Harian Agustus 2022, Arie Saptaji ,Rp 6.000,/assets/default-images/product.png,https://www.gramedia.com/products/renungan-harian-agustus-2022
99,Renungan Harian Juli 2022, Arie Saptaji ,Rp 6.000,/assets/default-images/product.png,https://www.gramedia.com/products/renungan-harian-juli-2022
100,Top Rank Buku Pintar Matematika & Fisika Sma," Sandy Hermawan, Desy Listianti, Aries Maulana ",Rp 95.000,https://cdn.gramedia.com/uploads/items/Top_Rank_Buku_Pintar_Matematika__Fisika_Sma__w149_hauto.jpg,https://www.gramedia.com/products/top-rank-buku-pintar-matematika-fisika-sma
101,Hakikat Manusia Pancasila Menurut Notonagoro Dan Drijarkara," Dr. Yoseph Umarhadi, M. Si.,M.A ",Rp 86.000,https://cdn.gramedia.com/uploads/items/f4e5771f-3709-4d9a-8a98-a6fb7b57c18d__w149_hauto.png,https://www.gramedia.com/products/hakikat-manusia-pancasila-menurut-notonagoro-dan-drijarkara
102,Misteri Kotak Mainan, Barbara Eni ,Rp 50.000,https://cdn.gramedia.com/uploads/items/Misteri_Kotak_Mainan__w149_hauto.jpg,https://www.gramedia.com/products/misteri-kotak-mainan
103,Bisikan Wayang Suket, Barbara Eni ,Rp 50.000,https://cdn.gramedia.com/uploads/items/Bisikan_Wayang_Suket__w149_hauto.jpg,https://www.gramedia.com/products/bisikan-wayang-suket
104,Kincir Waktu 1, Akmal Nasery Basral ,Rp 115.000,https://cdn.gramedia.com/uploads/items/cats_zsM4qvQ__w149_hauto.jpg,https://www.gramedia.com/products/kincir-waktu-1
105,Fairy Tail 100 years Quest 08, Hiro Mashima ,Rp 40.000,https://cdn.gramedia.com/uploads/items/722010279_Cov_FairyTail_100_th_08_1__w149_hauto.jpg,https://www.gramedia.com/products/fairy-tail-100-years-quest-08
106,Allah Maha Penyayang Allah Maha Hebat, Hafidza Istianah ,Rp 92.000,https://cdn.gramedia.com/uploads/items/img20220606_16075555__w149_hauto.jpg,https://www.gramedia.com/products/allah-maha-penyayang-allah-maha-hebat
